,geography,employment_indicator,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
,National - Regional - LA - OAs,Employment Indicator (V),,,,,,,,,,,,,,,,,,,,,,,,
,Hartlepool,In employment (PAYE) or self-employment,"5,276","5,259","5,219","5,226","5,229","5,187","5,194","5,230","5,243","5,248","5,260","5,269","5,223","5,233","5,218","5,241","5,226","5,210","5,230","5,265","5,249","5,141","5,187","5,148"
,,Not in employment (PAYE) or self-employment,"8,584","8,652","8,676","8,595","8,500","8,332","8,219","8,252","8,162","8,193","8,113","8,080","8,167","8,137","8,074","8,127","8,238","8,304","8,370","8,472","8,463","8,707","8,782","8,831"
,,Total,"13,862","13,911","13,903","13,826","13,726","13,518","13,412","13,483","13,402","13,444","13,379","13,352","13,384","13,368","13,288","13,371","13,465","13,513","13,602","13,732","13,714","13,849","13,967","13,975"
,Middlesbrough,In employment (PAYE) or self-employment,"7,823","7,736","7,748","7,884","8,020","7,976","7,969","7,987","7,936","8,000","7,998","7,985","7,877","7,866","7,869","7,984","8,008","8,060","8,015","8,139","8,192","8,084","8,185","8,124"
,,Not in employment (PAYE) or self-employment,"12,205","12,431","12,518","12,431","12,277","12,107","12,022","11,921","11,904","11,750","11,681","11,707","11,883","11,846","11,824","11,796","11,891","11,818","12,079","12,087","12,111","12,427","12,521","12,660"
,,Total,"20,028","20,168","20,266","20,318","20,303","20,084","19,990","19,909","19,843","19,751","19,676","19,692","19,756","19,710","19,689","19,781","19,901","19,879","20,090","20,227","20,301","20,514","20,705","20,786"
,Redcar and Cleveland,In employment (PAYE) or self-employment,"5,916","5,916","5,921","5,886","6,036","6,089","5,985","5,952","5,849","5,948","5,909","5,891","5,714","5,711","5,807","5,911","5,956","6,006","6,048","6,198","6,209","6,110","6,084","6,039"
,,Not in employment (PAYE) or self-employment,"7,703","7,862","7,955","7,927","7,779","7,579","7,610","7,630","7,617","7,573","7,557","7,595","7,850","7,969","7,905","7,902","7,900","7,955","8,062","8,088","8,154","8,396","8,487","8,612"
,,Total,"13,619","13,775","13,875","13,813","13,813","13,668","13,593","13,578","13,467","13,521","13,469","13,484","13,564","13,681","13,707","13,815","13,860","13,958","14,110","14,284","14,361","14,511","14,571","14,653"
,Stockton-on-Tees,In employment (PAYE) or self-employment,"8,303","8,193","8,251","8,237","8,364","8,323","8,294","8,247","8,172","8,199","8,158","8,143","7,953","7,907","8,031","8,069","8,105","8,168","8,255","8,333","8,397","8,288","8,364","8,347"
,,Not in employment (PAYE) or self-employment,"10,892","11,101","11,181","11,148","10,926","10,689","10,584","10,556","10,551","10,388","10,317","10,292","10,544","10,685","10,540","10,614","10,559","10,590","10,719","10,813","10,860","11,127","11,160","11,264"
,,Total,"19,193","19,300","19,434","19,387","19,292","19,014","18,878","18,802","18,722","18,585","18,471","18,442","18,503","18,587","18,573","18,684","18,665","18,761","18,971","19,144","19,253","19,421","19,522","19,611"
,Darlington,In employment (PAYE) or self-employment,"4,762","4,764","4,702","4,719","4,808","4,801","4,854","4,759","4,747","4,778","4,815","4,741","4,676","4,734","4,756","4,711","4,742","4,760","4,728","4,757","4,838","4,776","4,891","4,943"
,,Not in employment (PAYE) or self-employment,"5,897","6,025","6,124","6,101","6,075","5,934","5,824","5,822","5,745","5,697","5,629","5,588","5,681","5,679","5,602","5,652","5,675","5,704","5,883","5,994","6,037","6,210","6,140","6,139"
,,Total,"10,656","10,789","10,827","10,817","10,878","10,739","10,680","10,578","10,493","10,472","10,446","10,329","10,355","10,410","10,363","10,367","10,421","10,462","10,612","10,751","10,874","10,981","11,029","11,084"
,County Durham,In employment (PAYE) or self-employment,"21,716","21,633","21,544","21,389","21,700","21,493","21,398","21,215","21,034","21,167","21,127","21,215","20,576","20,691","20,771","20,917","20,710","20,788","20,896","21,144","21,328","21,091","21,133","21,124"
,,Not in employment (PAYE) or self-employment,"30,510","30,871","30,950","30,913","30,592","30,040","29,827","29,927","29,860","29,376","29,010","28,805","29,412","29,509","29,365","29,471","29,707","29,786","30,299","30,550","30,759","31,494","31,820","32,122"
,,Total,"52,227","52,505","52,495","52,300","52,288","51,530","51,227","51,145","50,898","50,546","50,140","50,015","49,983","50,204","50,132","50,384","50,415","50,571","51,192","51,689","52,087","52,583","52,957","53,245"
,Northumberland,In employment (PAYE) or self-employment,"11,915","11,690","11,693","11,772","12,033","12,086","12,102","11,943","11,751","11,659","11,610","11,604","11,270","11,316","11,426","11,682","11,664","11,733","11,880","11,940","11,995","11,752","11,754","11,744"
,,Not in employment (PAYE) or self-employment,"12,916","13,172","13,280","13,045","12,700","12,400","12,172","12,188","12,125","12,134","12,039","12,029","12,510","12,534","12,390","12,310","12,373","12,431","12,604","12,828","12,941","13,380","13,527","13,692"
,,Total,"24,824","24,862","24,969","24,815","24,734","24,484","24,273","24,126","23,878","23,791","23,645","23,628","23,781","23,851","23,809","23,993","24,038","24,161","24,479","24,765","24,931","25,134","25,281","25,437"
,Newcastle upon Tyne,In employment (PAYE) or self-employment,"15,245","15,045","14,970","14,904","15,091","15,481","15,510","15,512","15,353","15,198","15,109","15,101","14,609","14,519","14,359","14,309","14,257","14,382","14,565","14,598","14,569","14,331","14,101","14,177"
,,Not in employment (PAYE) or self-employment,"21,902","22,094","22,118","21,927","21,473","20,965","20,796","20,720","20,484","20,114","19,938","19,903","20,176","20,108","19,984","20,072","20,094","19,994","20,062","20,153","20,187","20,601","20,602","20,682"
,,Total,"37,147","37,139","37,089","36,828","36,563","36,447","36,301","36,229","35,843","35,310","35,045","35,008","34,786","34,630","34,343","34,383","34,347","34,378","34,632","34,750","34,756","34,930","34,704","34,861"
,North Tyneside,In employment (PAYE) or self-employment,"9,039","8,885","8,863","8,782","9,004","9,095","9,162","9,076","8,996","9,042","9,084","9,108","8,787","8,842","8,851","8,947","8,935","9,012","9,028","9,083","9,077","8,722","8,516","8,526"
,,Not in employment (PAYE) or self-employment,"10,170","10,334","10,384","10,269","10,054","9,808","9,663","9,662","9,505","9,395","9,270","9,248","9,445","9,444","9,305","9,319","9,377","9,386","9,564","9,612","9,673","9,997","10,068","10,129"
,,Total,"19,208","19,220","19,248","19,058","19,059","18,902","18,828","18,740","18,501","18,429","18,358","18,352","18,231","18,287","18,151","18,271","18,312","18,395","18,595","18,692","18,748","18,721","18,577","18,656"
,South Tyneside,In employment (PAYE) or self-employment,"7,356","7,280","7,273","7,233","7,391","7,448","7,415","7,367","7,263","7,388","7,375","7,377","7,040","7,031","7,113","7,176","7,220","7,277","7,365","7,416","7,443","7,286","7,163","7,240"
,,Not in employment (PAYE) or self-employment,"10,435","10,585","10,642","10,625","10,442","10,277","10,193","10,178","10,007","9,920","9,841","9,794","10,075","10,229","10,110","10,158","10,187","10,205","10,319","10,350","10,391","10,668","10,631","10,627"
,,Total,"17,792","17,868","17,912","17,861","17,833","17,731","17,608","17,548","17,270","17,310","17,218","17,169","17,117","17,261","17,220","17,331","17,407","17,479","17,678","17,769","17,833","17,951","17,798","17,862"
,Sunderland,In employment (PAYE) or self-employment,"13,257","13,184","13,127","13,016","13,305","13,344","13,390","13,424","13,414","13,740","13,802","13,701","13,340","13,377","13,432","13,414","13,295","13,422","13,387","13,478","13,498","13,314","13,354","13,287"
,,Not in employment (PAYE) or self-employment,"17,774","18,012","18,147","18,198","17,965","17,781","17,659","17,727","17,524","17,377","17,224","17,205","17,696","17,682","17,512","17,634","17,879","17,887","18,186","18,435","18,540","19,064","19,100","19,189"
,,Total,"31,027","31,196","31,278","31,221","31,270","31,128","31,046","31,153","30,934","31,114","31,028","30,906","31,038","31,060","30,946","31,052","31,173","31,311","31,574","31,908","32,036","32,379","32,456","32,475"
,Gateshead,In employment (PAYE) or self-employment,"9,364","9,282","9,296","9,225","9,438","9,505","9,422","9,417","9,383","9,348","9,388","9,372","9,081","9,038","9,074","9,138","9,129","9,098","9,070","9,132","9,246","9,016","8,982","8,972"
,,Not in employment (PAYE) or self-employment,"12,727","12,870","12,926","12,851","12,675","12,466","12,332","12,282","12,120","11,973","11,834","11,745","12,000","12,073","12,027","12,089","12,138","12,167","12,309","12,407","12,382","12,664","12,722","12,754"
,,Total,"22,088","22,148","22,222","22,073","22,119","21,974","21,748","21,702","21,506","21,316","21,218","21,120","21,078","21,108","21,105","21,229","21,266","21,263","21,372","21,539","21,632","21,677","21,698","21,729"
,Halton,In employment (PAYE) or self-employment,"7,340","7,262","7,262","7,153","7,237","7,248","7,079","7,036","7,013","7,040","7,028","7,019","6,793","6,855","6,834","6,812","6,819","6,803","6,803","6,804","6,815","6,662","6,711","6,668"
