local authority: district / unitary (as of April 2023),mnemonic,T01:25 (Aged 16-64 - Economically active : All People ),,Conf,T01:28 (Aged 16-64 - In employment : All People ),,Conf
Hartlepool,E06000001,41900,,3400,38700,,3200
Middlesbrough,E06000002,62300,,5500,56700,,5200
Redcar and Cleveland,E06000003,55700,,5000,52300,,4800
Stockton-on-Tees,E06000004,91400,,7200,85900,,7000
Darlington,E06000005,51200,,4200,48400,,4100
County Durham,E06000047,238800,,18000,229000,,17600
Northumberland,E06000057,133900,,10900,125900,,10600
Newcastle upon Tyne,E08000021,149200,,13100,138400,,12600
North Tyneside,E08000022,95900,,8100,89000,,7800
South Tyneside,E08000023,67400,,6100,63800,,5900
Sunderland,E08000024,126100,,10600,119700,,10300
Gateshead,E08000037,98600,,8800,91400,,8500
Halton,E06000006,61700,,6000,58800,,5800
Warrington,E06000007,106700,,9900,103600,,9700
Blackburn with Darwen,E06000008,64100,,6300,60200,,6100
Blackpool,E06000009,60300,,5400,57100,,5300
Cheshire East,E06000049,167400,,16000,162000,,15700
Cheshire West and Chester,E06000050,158100,,16000,153800,,15700
Cumberland,E06000063,126400,,12800,123000,,12700
Westmorland and Furness,E06000064,95800,,10000,92600,,9900
Burnley,E07000117,39200,,8600,36300,,8300
Chorley,E07000118,55900,,9000,52400,,8700
Fylde,E07000119,30500,,6600,30300,,6600
Hyndburn,E07000120,39000,,9000,34100,,8400
Lancaster,E07000121,68200,,10600,63500,,10300
Pendle,E07000122,42200,,9600,39100,,9300
Preston,E07000123,65800,,11500,61200,,11100
Ribble Valley,E07000124,29100,,6300,27700,,6100
Rossendale,E07000125,32500,,8300,31500,,8200
South Ribble,E07000126,50700,,9200,49800,,9100
West Lancashire,E07000127,55300,,10200,53600,,10000
Wyre,E07000128,46400,,7900,45600,,7800
Bolton,E08000001,123700,,11800,120400,,11600
Bury,E08000002,90600,,8000,86600,,7800
Manchester,E08000003,296900,,27300,270300,,26000
Oldham,E08000004,97000,,9400,92600,,9200
Rochdale,E08000005,92600,,8400,87000,,8100
Salford,E08000006,124300,,13000,120100,,12800
Stockport,E08000007,139500,,11400,132100,,11100
Tameside,E08000008,107600,,9400,104700,,9300
Trafford,E08000009,116900,,10100,111400,,9800
Wigan,E08000010,161300,,14200,155600,,13900
Knowsley,E08000011,71900,,7500,69300,,7300
Liverpool,E08000012,259200,,22700,243600,,22000
St. Helens,E08000013,85300,,8000,81100,,7800
Sefton,E08000014,123000,,10500,119000,,10300
Wirral,E08000015,141000,,12700,135800,,12500
"Kingston upon Hull, City of",E06000010,127400,,11900,119800,,11500
East Riding of Yorkshire,E06000011,153000,,11400,148300,,11200
North East Lincolnshire,E06000012,69400,,6100,67300,,6000
North Lincolnshire,E06000013,74900,,7500,73300,,7400
York,E06000014,110900,,9200,108700,,9100
North Yorkshire,E06000065,280600,,20200,273000,,19900
Barnsley,E08000016,112800,,9800,109400,,9600
Doncaster,E08000017,137300,,12200,128200,,11800
Rotherham,E08000018,120600,,11000,115100,,10700
Sheffield,E08000019,303900,,22700,284800,,21900
Bradford,E08000032,247000,,21900,233200,,21200
Calderdale,E08000033,98600,,8700,94700,,8600
Kirklees,E08000034,206600,,16800,197500,,16400
Leeds,E08000035,396800,,27600,374700,,26800
Wakefield,E08000036,163500,,13300,157000,,13000
Derby,E06000015,122600,,10500,117800,,10300
Leicester,E06000016,159500,,16500,149000,,15900
Rutland,E06000017,15300,,2400,14900,,2400
Nottingham,E06000018,168200,,14300,159600,,13900
North Northamptonshire,E06000061,171000,,17100,164500,,16800
West Northamptonshire,E06000062,200200,,18500,189700,,18000
Amber Valley,E07000032,57400,,9500,56800,,9400
Bolsover,E07000033,38300,,10200,37100,,10000
Chesterfield,E07000034,49200,,8300,47200,,8100
Derbyshire Dales,E07000035,28300,,6400,27400,,6300
Erewash,E07000036,53700,,9000,53300,,9000
High Peak,E07000037,46400,,9700,43500,,9400
North East Derbyshire,E07000038,49300,,9800,48700,,9800
South Derbyshire,E07000039,53800,,8600,50900,,8300
Blaby,E07000129,50400,,8500,44300,,8000
Charnwood,E07000130,100800,,13500,95400,,13200
Harborough,E07000131,45800,,8000,43000,,7700
Hinckley and Bosworth,E07000132,57500,,9700,54500,,9500
Melton,E07000133,21600,,5700,20600,,5600
North West Leicestershire,E07000134,50600,,9500,48300,,9300
Oadby and Wigston,E07000135,24600,,7600,24600,,7600
Boston,E07000136,34300,,9100,30300,,8600
East Lindsey,E07000137,46000,,8800,41800,,8400
Lincoln,E07000138,50800,,9400,49800,,9400
North Kesteven,E07000139,55600,,9000,53900,,8800
South Holland,E07000140,43300,,9100,42000,,8900
South Kesteven,E07000141,67200,,11000,66600,,10900
West Lindsey,E07000142,41000,,7600,41000,,7600
Ashfield,E07000170,67400,,12100,64600,,11900
Bassetlaw,E07000171,49400,,9100,49000,,9100
Broxtowe,E07000172,55000,,8600,52700,,8500
Gedling,E07000173,57100,,8900,51200,,8400
Mansfield,E07000174,42600,,9500,41200,,9400
Newark and Sherwood,E07000175,53400,,10300,49700,,10000
Rushcliffe,E07000176,59800,,9300,58000,,9200
"Herefordshire, County of",E06000019,89400,,7400,85800,,7200
